1443225600000,239.99,239.99,234.81,235.2,190090.0
1443312000000,235.2,235.36,232.91,234.51,258488.0
1443398400000,234.51,234.76,233.03,233.29,161013.0
1443484800000,233.29,243.19,232.9,240.07,319143.0
1443571200000,240.07,241.5,235.81,237.0,368771.0
1443657600000,237.0,238.2,235.56,236.55,294736.0
1443744000000,236.55,239.53,234.63,238.1,180356.0
1443830400000,238.1,238.99,237.09,238.0,133911.0
1443916800000,238.0,241.0,237.53,239.67,127411.0
1444003200000,239.67,239.93,238.3,238.58,148659.0
1444089600000,238.58,240.85,237.77,240.85,255736.0
1444176000000,240.85,249.0,240.68,247.09,536943.0
1444262400000,247.09,247.8,243.43,243.43,428099.0
1444348800000,243.43,245.73,243.0,243.19,393019.0
1444435200000,243.19,244.91,242.99,244.4,466508.0
1444521600000,244.4,246.08,243.77,246.0,300969.0
1444608000000,246.0,248.56,245.18,248.13,657289.0
1444694400000,248.13,248.41,245.7,246.38,710444.0
1444780800000,246.38,251.49,244.47,250.76,1284157.0
1444867200000,250.76,255.55,249.99,253.32,1196167.0
1444953600000,253.32,257.18,253.04,254.86,3508869.0
1445040000000,254.86,267.55,254.88,263.89,4632494.0
1445126400000,263.89,278.51,263.0,273.91,9988015.0
1445212800000,273.91,275.05,262.0,265.63,3216612.0
1445299200000,265.63,270.69,261.55,265.35,2241882.0
1445385600000,265.35,274.49,264.68,271.85,2770928.0
1445472000000,271.85,273.45,263.88,268.37,2806074.0
1445558400000,268.37,280.0,267.65,276.9,2263003.0
1445644800000,276.9,282.38,275.47,279.8,1898945.0
1445731200000,279.8,286.9,278.35,285.39,2753916.0
1445817600000,285.39,299.51,282.9,285.79,5663816.0
1445904000000,285.79,292.29,281.01,289.32,3596017.0
1445990400000,289.32,305.32,286.89,296.51,4671955.0
1446076800000,296.51,310.36,296.6,306.99,4231430.0
1446163200000,306.99,322.0,303.14,316.6,5642264.0
1446249600000,316.6,336.81,300.0,333.0,7526523.0
1446336000000,333.0,338.7,307.53,317.73,5842767.0
1446422400000,317.73,335.0,314.0,331.38,2599899.0
1446508800000,331.38,380.0,326.95,371.98,3855966.0
1446595200000,371.98,440.0,365.18,422.0,6102534.0
1446681600000,422.0,558.0,382.0,424.0,5738641.0
1446768000000,424.0,472.73,375.0,402.0,3820602.0
1446854400000,402.0,408.32,359.0,377.61,3353266.0
1446940800000,377.61,394.99,373.91,384.34,2032334.0
1447027200000,384.34,394.82,365.0,372.0,1938629.0
1447113600000,372.0,395.21,361.32,383.25,2043266.0
1447200000000,383.25,385.96,326.88,339.45,3018387.0
1447286400000,339.45,344.0,301.09,314.5,3906724.0
1447372800000,314.5,349.84,313.7,338.25,3688177.0
1447459200000,338.25,344.75,325.21,338.81,1939377.0
1447545600000,338.81,345.03,329.31,333.63,1637971.0
1447632000000,333.63,335.08,314.5,320.43,1621865.0
1447718400000,320.43,334.77,314.1,332.05,1502612.0
1447804800000,332.05,342.69,331.15,336.4,1530487.0
1447891200000,336.4,339.69,328.77,336.5,1208577.0
1447977600000,336.5,336.84,324.85,326.65,1209300.0
1448064000000,326.65,327.37,309.99,322.09,1878107.0
1448150400000,322.09,330.62,319.67,328.24,1113793.0
1448236800000,328.24,328.6,319.81,324.92,912601.0
1448323200000,324.92,331.94,320.96,323.81,803797.0
1448409600000,323.81,323.76,315.79,319.8,927965.0
1448496000000,319.8,334.49,315.84,329.42,1220511.0
1448582400000,329.42,372.42,329.25,354.2,3054060.0
1448668800000,354.2,367.4,350.0,361.7,2415770.0
1448755200000,361.7,362.29,350.0,359.72,1678983.0
1448841600000,359.72,382.74,355.1,379.5,1407040.0
1448928000000,379.5,388.5,373.32,381.43,2619821.0
1449014400000,381.43,384.75,347.03,364.1,2092391.0
1449100800000,364.1,367.18,346.67,359.96,1896192.0
1449187200000,359.96,372.7,355.0,362.32,1909147.0
1449273600000,362.32,365.38,353.21,364.2,1174333.0
1449360000000,364.2,395.0,363.35,394.0,1884756.0
1449446400000,394.0,407.51,387.0,390.04,1995480.0
1449532800000,390.04,405.62,384.0,396.7,1632998.0
1449619200000,396.7,425.15,390.0,423.0,1589423.0
1449705600000,423.0,428.7,407.5,422.14,3017529.0
1449792000000,422.14,424.99,411.16,416.22,1725214.0
1449878400000,416.22,463.78,416.64,460.0,5284695.0
1449964800000,460.0,482.76,418.27,440.34,5297714.0
1450051200000,440.34,449.8,419.99,437.5,2447010.0
1450137600000,437.5,453.5,432.48,448.89,2231778.0
1450224000000,448.89,471.0,447.48,469.98,3419075.0
1450310400000,469.98,470.08,404.0,458.04,4154136.0
1450396800000,458.04,459.76,446.17,456.36,1152674.0
1450483200000,456.36,468.33,443.05,464.96,1493527.0
1450569600000,464.96,467.5,451.37,461.6,1481469.0
1450656000000,461.6,462.81,429.24,443.29,2584113.0
1450742400000,443.29,446.0,423.7,439.31,2103651.0
1450828800000,439.31,443.39,433.47,436.56,829379.0
1450915200000,436.56,446.0,435.57,445.26,560732.0
1451001600000,445.26,459.31,439.49,457.33,1020329.0
1451088000000,457.33,461.56,448.48,455.44,612453.0
1451174400000,455.44,458.45,402.86,416.76,2993927.0
1451260800000,416.76,433.95,407.83,426.82,1267415.0
1451347200000,426.82,432.67,417.87,422.5,1865178.0
1451433600000,422.5,434.97,418.26,434.0,1033533.0
1451520000000,434.0,434.47,419.97,424.0,841044.0
1451606400000,424.0,434.23,415.99,430.76,1072844.0
1451692800000,430.76,436.7,426.37,435.99,478071.0
1451779200000,435.99,438.0,429.25,435.0,729519.0
